id,split,target,label
281,train,Atheism,NONE
282,train,Atheism,NONE
283,train,Atheism,AGAINST
284,train,Atheism,AGAINST
285,train,Atheism,NONE
286,train,Atheism,NONE
287,train,Atheism,FAVOR
288,train,Atheism,AGAINST
289,train,Atheism,AGAINST
290,train,Atheism,AGAINST
291,train,Atheism,NONE
292,train,Atheism,AGAINST
293,train,Atheism,AGAINST
294,train,Atheism,AGAINST
295,train,Atheism,AGAINST
296,train,Atheism,AGAINST
297,train,Atheism,AGAINST
298,train,Atheism,FAVOR
299,train,Atheism,AGAINST
300,train,Atheism,FAVOR
301,train,Atheism,NONE
302,train,Atheism,AGAINST
303,train,Atheism,NONE
304,train,Atheism,NONE
305,train,Atheism,NONE
306,train,Atheism,AGAINST
307,train,Atheism,NONE
308,train,Atheism,FAVOR
309,train,Atheism,AGAINST
310,train,Atheism,NONE
311,train,Atheism,AGAINST
312,train,Atheism,AGAINST
313,train,Atheism,AGAINST
314,train,Atheism,NONE
315,train,Atheism,NONE
316,train,Atheism,NONE
317,train,Atheism,NONE
318,train,Atheism,NONE
319,train,Atheism,NONE
320,dev,Atheism,NONE
321,train,Atheism,NONE
322,train,Atheism,NONE
323,train,Atheism,NONE
324,train,Atheism,NONE
325,train,Atheism,FAVOR
326,train,Atheism,AGAINST
327,train,Atheism,FAVOR
328,train,Atheism,FAVOR
329,train,Atheism,AGAINST
330,train,Atheism,FAVOR
331,train,Atheism,NONE
332,train,Atheism,NONE
333,train,Atheism,FAVOR
334,train,Atheism,FAVOR
335,train,Atheism,NONE
336,train,Atheism,NONE
337,train,Atheism,NONE
338,train,Atheism,NONE
339,train,Atheism,FAVOR
340,train,Atheism,NONE
341,train,Atheism,NONE
342,train,Atheism,FAVOR
343,train,Atheism,AGAINST
344,train,Atheism,NONE
345,train,Atheism,NONE
346,train,Atheism,AGAINST
347,train,Atheism,NONE
348,train,Atheism,NONE
349,train,Atheism,FAVOR
350,train,Atheism,FAVOR
351,train,Atheism,NONE
352,train,Atheism,NONE
353,train,Atheism,FAVOR
354,train,Atheism,FAVOR
355,train,Atheism,FAVOR
356,train,Atheism,FAVOR
357,train,Atheism,NONE
358,train,Atheism,AGAINST
359,train,Atheism,AGAINST
360,train,Atheism,AGAINST
361,train,Atheism,FAVOR
362,train,Atheism,AGAINST
363,train,Atheism,NONE
364,train,Atheism,NONE
365,train,Atheism,NONE
366,train,Atheism,NONE
367,train,Atheism,AGAINST
368,train,Atheism,NONE
369,train,Atheism,NONE
370,train,Atheism,NONE
371,train,Atheism,AGAINST
372,train,Atheism,AGAINST
373,train,Atheism,AGAINST
374,train,Atheism,NONE
375,train,Atheism,FAVOR
376,train,Atheism,AGAINST
377,train,Atheism,AGAINST
378,train,Atheism,NONE
379,train,Atheism,NONE
380,train,Atheism,AGAINST
381,train,Atheism,AGAINST
382,train,Atheism,NONE
383,train,Atheism,FAVOR
384,train,Atheism,AGAINST
385,train,Atheism,NONE
386,train,Atheism,NONE
387,train,Atheism,NONE
388,train,Atheism,AGAINST
389,train,Atheism,NONE
390,train,Atheism,AGAINST
391,train,Atheism,AGAINST
392,train,Atheism,AGAINST
393,train,Atheism,AGAINST
394,train,Atheism,NONE
395,train,Atheism,FAVOR
396,train,Atheism,AGAINST
397,train,Atheism,AGAINST
398,train,Atheism,AGAINST
399,train,Atheism,AGAINST
400,train,Atheism,AGAINST
401,train,Atheism,AGAINST
402,train,Atheism,NONE
403,train,Atheism,AGAINST
404,train,Atheism,AGAINST
405,train,Atheism,AGAINST
406,train,Atheism,FAVOR
407,train,Atheism,FAVOR
408,train,Atheism,AGAINST
409,train,Atheism,FAVOR
410,train,Atheism,AGAINST
411,train,Atheism,FAVOR
412,train,Atheism,NONE
413,train,Atheism,FAVOR
414,train,Atheism,NONE
415,train,Atheism,FAVOR
416,train,Atheism,AGAINST
417,train,Atheism,FAVOR
418,train,Atheism,AGAINST
419,train,Atheism,AGAINST
420,train,Atheism,AGAINST
421,train,Atheism,AGAINST
422,train,Atheism,AGAINST
423,train,Atheism,AGAINST
424,train,Atheism,NONE
425,train,Atheism,FAVOR
426,train,Atheism,NONE
427,train,Atheism,FAVOR
428,train,Atheism,FAVOR
429,train,Atheism,NONE
430,train,Atheism,FAVOR
431,train,Atheism,FAVOR
432,train,Atheism,AGAINST
433,train,Atheism,AGAINST
434,train,Atheism,NONE
435,train,Atheism,FAVOR
436,train,Atheism,NONE
437,train,Atheism,FAVOR
438,train,Atheism,AGAINST
439,train,Atheism,FAVOR
440,train,Atheism,AGAINST
441,train,Atheism,NONE
442,train,Atheism,FAVOR
443,train,Atheism,NONE
444,train,Atheism,AGAINST
445,train,Atheism,AGAINST
446,train,Atheism,AGAINST
447,train,Atheism,AGAINST
448,train,Atheism,NONE
449,train,Atheism,NONE
450,train,Atheism,FAVOR
451,train,Atheism,AGAINST
452,train,Atheism,AGAINST
453,train,Atheism,NONE
454,train,Atheism,FAVOR
455,train,Atheism,AGAINST
456,train,Atheism,AGAINST
457,train,Atheism,AGAINST
458,train,Atheism,AGAINST
459,train,Atheism,AGAINST
460,train,Atheism,NONE
461,train,Atheism,NONE
462,train,Atheism,AGAINST
463,train,Atheism,FAVOR
464,train,Atheism,AGAINST
465,train,Atheism,FAVOR
466,train,Atheism,NONE
467,train,Atheism,FAVOR
468,train,Atheism,FAVOR
469,train,Atheism,AGAINST
470,train,Atheism,AGAINST
471,train,Atheism,FAVOR
472,train,Atheism,AGAINST
473,train,Atheism,FAVOR
474,train,Atheism,NONE
475,train,Atheism,AGAINST
476,train,Atheism,AGAINST
477,train,Atheism,FAVOR
478,train,Atheism,AGAINST
479,train,Atheism,NONE
480,train,Atheism,NONE
481,train,Atheism,AGAINST
482,train,Atheism,AGAINST
483,train,Atheism,NONE
484,train,Atheism,NONE
485,train,Atheism,NONE
486,train,Atheism,FAVOR
487,train,Atheism,FAVOR
488,train,Atheism,NONE
489,train,Atheism,AGAINST
490,train,Atheism,AGAINST
491,train,Atheism,AGAINST
492,train,Atheism,AGAINST
493,train,Atheism,AGAINST
494,train,Atheism,AGAINST
495,train,Atheism,AGAINST
496,train,Atheism,AGAINST
497,train,Atheism,AGAINST
498,train,Atheism,AGAINST
499,train,Atheism,AGAINST
500,train,Atheism,AGAINST
501,train,Atheism,AGAINST
502,train,Atheism,AGAINST
503,train,Atheism,AGAINST
504,train,Atheism,AGAINST
505,train,Atheism,AGAINST
506,train,Atheism,AGAINST
507,train,Atheism,AGAINST
508,train,Atheism,AGAINST
509,train,Atheism,AGAINST
510,train,Atheism,AGAINST
511,train,Atheism,AGAINST
512,train,Atheism,AGAINST
513,train,Atheism,AGAINST
514,train,Atheism,AGAINST
515,train,Atheism,AGAINST
516,train,Atheism,AGAINST
517,train,Atheism,AGAINST
518,train,Atheism,AGAINST
519,train,Atheism,AGAINST
520,train,Atheism,AGAINST
521,train,Atheism,AGAINST
522,train,Atheism,AGAINST
523,train,Atheism,AGAINST
524,train,Atheism,AGAINST
525,train,Atheism,AGAINST
526,train,Atheism,AGAINST
527,train,Atheism,AGAINST
528,train,Atheism,AGAINST
529,train,Atheism,AGAINST
530,train,Atheism,AGAINST
531,train,Atheism,AGAINST
532,train,Atheism,AGAINST
533,train,Atheism,AGAINST
534,train,Atheism,AGAINST
535,train,Atheism,AGAINST
536,train,Atheism,AGAINST
537,train,Atheism,AGAINST
538,train,Atheism,AGAINST
539,train,Atheism,AGAINST
540,train,Atheism,AGAINST
541,train,Atheism,AGAINST
542,dev,Atheism,AGAINST
543,train,Atheism,AGAINST
544,train,Atheism,AGAINST
545,train,Atheism,AGAINST
546,train,Atheism,AGAINST
547,train,Atheism,AGAINST
548,train,Atheism,AGAINST
549,train,Atheism,AGAINST
550,train,Atheism,AGAINST
551,train,Atheism,AGAINST
552,train,Atheism,AGAINST
553,train,Atheism,AGAINST
554,train,Atheism,AGAINST
555,train,Atheism,AGAINST
556,train,Atheism,AGAINST
557,train,Atheism,AGAINST
558,train,Atheism,AGAINST
559,train,Atheism,AGAINST
560,train,Atheism,AGAINST
561,train,Atheism,AGAINST
562,train,Atheism,AGAINST
563,train,Atheism,AGAINST
564,train,Atheism,AGAINST
565,train,Atheism,AGAINST
566,train,Atheism,AGAINST
567,train,Atheism,AGAINST
568,train,Atheism,AGAINST
569,train,Atheism,AGAINST
570,train,Atheism,AGAINST
571,train,Atheism,AGAINST
572,train,Atheism,AGAINST
573,train,Atheism,AGAINST
574,train,Atheism,AGAINST
575,train,Atheism,AGAINST
576,train,Atheism,AGAINST
577,train,Atheism,AGAINST
578,train,Atheism,AGAINST
579,train,Atheism,FAVOR
580,train,Atheism,AGAINST
581,train,Atheism,FAVOR
582,train,Atheism,NONE
583,train,Atheism,NONE
584,train,Atheism,AGAINST
585,train,Atheism,AGAINST
586,train,Atheism,AGAINST
587,train,Atheism,AGAINST
588,train,Atheism,AGAINST
589,train,Atheism,FAVOR
590,train,Atheism,AGAINST
591,train,Atheism,AGAINST
592,train,Atheism,AGAINST
593,train,Atheism,FAVOR
594,train,Atheism,NONE
595,train,Atheism,NONE
596,train,Atheism,AGAINST
597,train,Atheism,AGAINST
598,train,Atheism,FAVOR
599,train,Atheism,NONE
600,train,Atheism,NONE
601,train,Atheism,AGAINST
602,train,Atheism,AGAINST
603,train,Atheism,NONE
604,train,Atheism,NONE
605,train,Atheism,AGAINST
606,train,Atheism,AGAINST
607,train,Atheism,AGAINST
608,train,Atheism,AGAINST
609,train,Atheism,AGAINST
610,train,Atheism,AGAINST
611,train,Atheism,AGAINST
612,train,Atheism,AGAINST
613,train,Atheism,AGAINST
614,train,Climate Change is a Real Concern,FAVOR
615,train,Climate Change is a Real Concern,FAVOR
616,train,Climate Change is a Real Concern,FAVOR
617,train,Climate Change is a Real Concern,FAVOR
618,train,Climate Change is a Real Concern,FAVOR
619,train,Climate Change is a Real Concern,FAVOR
620,dev,Climate Change is a Real Concern,FAVOR
621,train,Climate Change is a Real Concern,FAVOR
622,train,Climate Change is a Real Concern,FAVOR
623,train,Climate Change is a Real Concern,AGAINST
624,train,Climate Change is a Real Concern,FAVOR
625,train,Climate Change is a Real Concern,FAVOR
626,train,Climate Change is a Real Concern,FAVOR
627,train,Climate Change is a Real Concern,FAVOR
628,train,Climate Change is a Real Concern,FAVOR
629,train,Climate Change is a Real Concern,FAVOR
630,train,Climate Change is a Real Concern,FAVOR
631,train,Climate Change is a Real Concern,FAVOR
632,train,Climate Change is a Real Concern,NONE
633,train,Climate Change is a Real Concern,NONE
634,train,Climate Change is a Real Concern,FAVOR
635,train,Climate Change is a Real Concern,FAVOR
636,train,Climate Change is a Real Concern,NONE
637,train,Climate Change is a Real Concern,FAVOR
638,train,Climate Change is a Real Concern,FAVOR
639,train,Climate Change is a Real Concern,FAVOR
640,train,Climate Change is a Real Concern,FAVOR
641,train,Climate Change is a Real Concern,NONE
642,train,Climate Change is a Real Concern,FAVOR
643,train,Climate Change is a Real Concern,NONE
644,train,Climate Change is a Real Concern,NONE
645,train,Climate Change is a Real Concern,FAVOR
646,train,Climate Change is a Real Concern,NONE
647,train,Climate Change is a Real Concern,NONE
648,train,Climate Change is a Real Concern,NONE
649,train,Climate Change is a Real Concern,NONE
650,train,Climate Change is a Real Concern,NONE
651,train,Climate Change is a Real Concern,FAVOR
652,train,Climate Change is a Real Concern,FAVOR
653,train,Climate Change is a Real Concern,NONE
654,train,Climate Change is a Real Concern,FAVOR
655,train,Climate Change is a Real Concern,FAVOR
656,train,Climate Change is a Real Concern,NONE
657,train,Climate Change is a Real Concern,FAVOR
658,train,Climate Change is a Real Concern,NONE
659,train,Climate Change is a Real Concern,NONE
660,train,Climate Change is a Real Concern,AGAINST
661,train,Climate Change is a Real Concern,FAVOR
662,train,Climate Change is a Real Concern,FAVOR
663,train,Climate Change is a Real Concern,FAVOR
664,train,Climate Change is a Real Concern,NONE
665,train,Climate Change is a Real Concern,FAVOR
666,train,Climate Change is a Real Concern,NONE
667,train,Climate Change is a Real Concern,FAVOR
668,train,Climate Change is a Real Concern,NONE
669,train,Climate Change is a Real Concern,FAVOR
670,train,Climate Change is a Real Concern,NONE
671,train,Climate Change is a Real Concern,NONE
672,train,Climate Change is a Real Concern,NONE
673,train,Climate Change is a Real Concern,NONE
674,train,Climate Change is a Real Concern,NONE
675,train,Climate Change is a Real Concern,NONE
676,train,Climate Change is a Real Concern,FAVOR
677,train,Climate Change is a Real Concern,FAVOR
678,train,Climate Change is a Real Concern,FAVOR
679,train,Climate Change is a Real Concern,NONE
680,train,Climate Change is a Real Concern,NONE
681,train,Climate Change is a Real Concern,NONE
682,train,Climate Change is a Real Concern,FAVOR
683,train,Climate Change is a Real Concern,FAVOR
684,train,Climate Change is a Real Concern,FAVOR
685,train,Climate Change is a Real Concern,NONE
686,train,Climate Change is a Real Concern,NONE
687,train,Climate Change is a Real Concern,NONE
688,train,Climate Change is a Real Concern,AGAINST
689,train,Climate Change is a Real Concern,NONE
690,train,Climate Change is a Real Concern,FAVOR
691,train,Climate Change is a Real Concern,NONE
692,train,Climate Change is a Real Concern,FAVOR
693,train,Climate Change is a Real Concern,AGAINST
694,train,Climate Change is a Real Concern,NONE
695,train,Climate Change is a Real Concern,NONE
696,train,Climate Change is a Real Concern,NONE
697,train,Climate Change is a Real Concern,NONE
698,train,Climate Change is a Real Concern,FAVOR
699,train,Climate Change is a Real Concern,FAVOR
700,train,Climate Change is a Real Concern,NONE
701,train,Climate Change is a Real Concern,FAVOR
702,train,Climate Change is a Real Concern,NONE
703,train,Climate Change is a Real Concern,FAVOR
704,train,Climate Change is a Real Concern,NONE
705,train,Climate Change is a Real Concern,FAVOR
706,train,Climate Change is a Real Concern,NONE
707,train,Climate Change is a Real Concern,FAVOR
708,train,Climate Change is a Real Concern,NONE
709,train,Climate Change is a Real Concern,NONE
710,train,Climate Change is a Real Concern,NONE
711,train,Climate Change is a Real Concern,NONE
712,train,Climate Change is a Real Concern,NONE
713,train,Climate Change is a Real Concern,FAVOR
714,train,Climate Change is a Real Concern,NONE
715,train,Climate Change is a Real Concern,FAVOR
716,train,Climate Change is a Real Concern,FAVOR
717,train,Climate Change is a Real Concern,NONE
718,train,Climate Change is a Real Concern,FAVOR
719,train,Climate Change is a Real Concern,NONE
720,train,Climate Change is a Real Concern,FAVOR
721,train,Climate Change is a Real Concern,FAVOR
722,train,Climate Change is a Real Concern,FAVOR
723,train,Climate Change is a Real Concern,NONE
724,train,Climate Change is a Real Concern,NONE
725,train,Climate Change is a Real Concern,FAVOR
726,train,Climate Change is a Real Concern,FAVOR
727,train,Climate Change is a Real Concern,NONE
728,train,Climate Change is a Real Concern,FAVOR
729,train,Climate Change is a Real Concern,NONE
730,train,Climate Change is a Real Concern,NONE
731,train,Climate Change is a Real Concern,NONE
732,train,Climate Change is a Real Concern,FAVOR
733,train,Climate Change is a Real Concern,FAVOR
734,train,Climate Change is a Real Concern,NONE
735,train,Climate Change is a Real Concern,FAVOR
736,train,Climate Change is a Real Concern,FAVOR
737,train,Climate Change is a Real Concern,NONE
738,train,Climate Change is a Real Concern,NONE
739,train,Climate Change is a Real Concern,NONE
740,train,Climate Change is a Real Concern,FAVOR
741,train,Climate Change is a Real Concern,FAVOR
742,train,Climate Change is a Real Concern,NONE
743,train,Climate Change is a Real Concern,NONE
744,train,Climate Change is a Real Concern,NONE
745,train,Climate Change is a Real Concern,NONE
746,train,Climate Change is a Real Concern,FAVOR
747,train,Climate Change is a Real Concern,NONE
748,train,Climate Change is a Real Concern,FAVOR
749,train,Climate Change is a Real Concern,NONE
750,train,Climate Change is a Real Concern,FAVOR
751,train,Climate Change is a Real Concern,NONE
752,train,Climate Change is a Real Concern,NONE
753,train,Climate Change is a Real Concern,NONE
754,train,Climate Change is a Real Concern,NONE
755,train,Climate Change is a Real Concern,FAVOR
756,train,Climate Change is a Real Concern,NONE
757,train,Climate Change is a Real Concern,FAVOR
758,train,Climate Change is a Real Concern,FAVOR
759,train,Climate Change is a Real Concern,NONE
760,train,Climate Change is a Real Concern,FAVOR
761,train,Climate Change is a Real Concern,FAVOR
762,train,Climate Change is a Real Concern,NONE
763,train,Climate Change is a Real Concern,NONE
764,train,Climate Change is a Real Concern,FAVOR
765,train,Climate Change is a Real Concern,FAVOR
766,train,Climate Change is a Real Concern,FAVOR
767,train,Climate Change is a Real Concern,NONE
768,train,Climate Change is a Real Concern,FAVOR
769,train,Climate Change is a Real Concern,NONE
770,train,Climate Change is a Real Concern,NONE
771,train,Climate Change is a Real Concern,FAVOR
772,train,Climate Change is a Real Concern,FAVOR
773,train,Climate Change is a Real Concern,FAVOR
774,train,Climate Change is a Real Concern,NONE
775,train,Climate Change is a Real Concern,FAVOR
776,train,Climate Change is a Real Concern,FAVOR
777,train,Climate Change is a Real Concern,FAVOR
778,train,Climate Change is a Real Concern,FAVOR
779,train,Climate Change is a Real Concern,NONE
780,train,Climate Change is a Real Concern,NONE
781,train,Climate Change is a Real Concern,NONE
782,train,Climate Change is a Real Concern,FAVOR
783,train,Climate Change is a Real Concern,NONE
784,train,Climate Change is a Real Concern,NONE
785,train,Climate Change is a Real Concern,FAVOR
786,train,Climate Change is a Real Concern,FAVOR
787,train,Climate Change is a Real Concern,FAVOR
788,train,Climate Change is a Real Concern,NONE
789,train,Climate Change is a Real Concern,FAVOR
790,train,Climate Change is a Real Concern,NONE
791,train,Climate Change is a Real Concern,NONE
792,train,Climate Change is a Real Concern,FAVOR
793,train,Climate Change is a Real Concern,NONE
794,train,Climate Change is a Real Concern,FAVOR
795,train,Climate Change is a Real Concern,NONE
796,train,Climate Change is a Real Concern,FAVOR
797,train,Climate Change is a Real Concern,FAVOR
798,train,Climate Change is a Real Concern,FAVOR
799,train,Climate Change is a Real Concern,NONE
800,train,Climate Change is a Real Concern,NONE
801,train,Climate Change is a Real Concern,FAVOR
802,train,Climate Change is a Real Concern,NONE
803,train,Climate Change is a Real Concern,NONE
804,train,Climate Change is a Real Concern,FAVOR
805,train,Climate Change is a Real Concern,NONE
806,train,Climate Change is a Real Concern,NONE
807,train,Climate Change is a Real Concern,NONE
808,train,Climate Change is a Real Concern,NONE
809,train,Climate Change is a Real Concern,NONE
810,train,Climate Change is a Real Concern,FAVOR
811,train,Climate Change is a Real Concern,FAVOR
812,train,Climate Change is a Real Concern,FAVOR
813,train,Climate Change is a Real Concern,FAVOR
814,train,Climate Change is a Real Concern,FAVOR
815,train,Climate Change is a Real Concern,NONE
816,train,Climate Change is a Real Concern,FAVOR
817,train,Climate Change is a Real Concern,NONE
818,train,Climate Change is a Real Concern,NONE
819,train,Climate Change is a Real Concern,NONE
820,train,Climate Change is a Real Concern,FAVOR
821,train,Climate Change is a Real Concern,FAVOR
822,train,Climate Change is a Real Concern,FAVOR
823,train,Climate Change is a Real Concern,NONE
824,train,Climate Change is a Real Concern,NONE
825,train,Climate Change is a Real Concern,FAVOR
826,train,Climate Change is a Real Concern,NONE
827,train,Climate Change is a Real Concern,FAVOR
828,train,Climate Change is a Real Concern,FAVOR
829,train,Climate Change is a Real Concern,FAVOR
830,train,Climate Change is a Real Concern,NONE
831,train,Climate Change is a Real Concern,FAVOR
832,train,Climate Change is a Real Concern,FAVOR
833,train,Climate Change is a Real Concern,FAVOR
834,train,Climate Change is a Real Concern,FAVOR
835,train,Climate Change is a Real Concern,NONE
836,train,Climate Change is a Real Concern,NONE
837,train,Climate Change is a Real Concern,NONE
838,train,Climate Change is a Real Concern,NONE
839,train,Climate Change is a Real Concern,NONE
840,train,Climate Change is a Real Concern,FAVOR
841,train,Climate Change is a Real Concern,FAVOR
842,train,Climate Change is a Real Concern,FAVOR
843,train,Climate Change is a Real Concern,FAVOR
844,train,Climate Change is a Real Concern,FAVOR
845,train,Climate Change is a Real Concern,FAVOR
846,train,Climate Change is a Real Concern,FAVOR
847,train,Climate Change is a Real Concern,FAVOR
848,train,Climate Change is a Real Concern,FAVOR
849,train,Climate Change is a Real Concern,FAVOR
850,train,Climate Change is a Real Concern,NONE
851,train,Climate Change is a Real Concern,NONE
852,train,Climate Change is a Real Concern,FAVOR
853,train,Climate Change is a Real Concern,FAVOR
854,train,Climate Change is a Real Concern,FAVOR
855,train,Climate Change is a Real Concern,FAVOR
856,train,Climate Change is a Real Concern,FAVOR
857,train,Climate Change is a Real Concern,FAVOR
858,train,Climate Change is a Real Concern,NONE
859,train,Climate Change is a Real Concern,FAVOR
860,train,Climate Change is a Real Concern,NONE
861,train,Climate Change is a Real Concern,NONE
862,train,Climate Change is a Real Concern,FAVOR
863,train,Climate Change is a Real Concern,FAVOR
864,train,Climate Change is a Real Concern,FAVOR
865,train,Climate Change is a Real Concern,FAVOR
866,train,Climate Change is a Real Concern,NONE
867,train,Climate Change is a Real Concern,NONE
868,train,Climate Change is a Real Concern,NONE
869,train,Climate Change is a Real Concern,FAVOR
870,train,Climate Change is a Real Concern,FAVOR
871,train,Climate Change is a Real Concern,FAVOR
872,train,Climate Change is a Real Concern,FAVOR
873,train,Climate Change is a Real Concern,FAVOR
874,train,Climate Change is a Real Concern,FAVOR
875,train,Climate Change is a Real Concern,NONE
876,train,Climate Change is a Real Concern,NONE
877,train,Climate Change is a Real Concern,FAVOR
878,train,Climate Change is a Real Concern,FAVOR
879,train,Climate Change is a Real Concern,FAVOR
880,train,Climate Change is a Real Concern,FAVOR
881,train,Climate Change is a Real Concern,FAVOR
882,train,Climate Change is a Real Concern,FAVOR
883,train,Climate Change is a Real Concern,NONE
884,train,Climate Change is a Real Concern,NONE
885,train,Climate Change is a Real Concern,FAVOR
886,train,Climate Change is a Real Concern,NONE
887,train,Climate Change is a Real Concern,NONE
888,train,Climate Change is a Real Concern,FAVOR
889,train,Climate Change is a Real Concern,FAVOR
890,train,Climate Change is a Real Concern,FAVOR
891,train,Climate Change is a Real Concern,FAVOR
892,train,Climate Change is a Real Concern,FAVOR
893,train,Climate Change is a Real Concern,FAVOR
894,train,Climate Change is a Real Concern,FAVOR
895,train,Climate Change is a Real Concern,FAVOR
896,train,Climate Change is a Real Concern,NONE
897,train,Climate Change is a Real Concern,FAVOR
898,dev,Climate Change is a Real Concern,NONE
899,train,Climate Change is a Real Concern,FAVOR
900,train,Climate Change is a Real Concern,FAVOR
901,train,Climate Change is a Real Concern,FAVOR
902,train,Climate Change is a Real Concern,FAVOR
903,train,Climate Change is a Real Concern,AGAINST
904,train,Climate Change is a Real Concern,AGAINST
905,train,Climate Change is a Real Concern,AGAINST
906,train,Climate Change is a Real Concern,AGAINST
907,train,Climate Change is a Real Concern,NONE
